CountryName,YearExclInfLab,Polyarchy,LibDem,ParticipDem,EgalDem,FreeFairElect,EqualAccess,CPIScore,CPIScoreRank,CPIScoreStdErr,EconIntelRating,SnPGloInsightsRating,WEFRating,InfLabYear,MaleInfLab,FemInfLab,TotInfLab
Sri Lanka,2024,0.664,0.486,0.431,0.472,0.791,0.671,0.32,121,0.016288590000000002,0.18,0.32,0.23,2022,71.206,58.963,67.038
Eswatini,2024,0.13,0.097,0.113,0.075,0.382,0.227,0.27,135,0.03497027,NA,0.32,NA,2021,46.513,56.288,51.512
Tajikistan,2024,0.174,0.05,0.057,0.071,0.098,0.099,0.19,164,0.01760768,NA,0.19,NA,2016,68.723,53.835,64.575
Togo,2024,0.355,0.173,0.211,0.265,0.289,0.661,0.32,121,0.013776839999999999,NA,0.32,NA,2022,90.635,93.866,92.343
Trinidad and Tobago,2024,0.755,0.627,0.486,0.605,0.821,0.711,0.41,82,0.04436315,0.35,0.32,NA,NA,NA,NA,NA
Turkmenistan,2024,0.149,0.033,0.033,0.092,0.074,0.135,0.17,165,0.008940756,0.18,0.19,NA,NA,NA,NA,NA
Palestine/Gaza,2024,0.095,0.053,0.062,0.112,0,0.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Somaliland,2024,0.419,0.271,0.257,0.179,0.533,0.401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uzbekistan,2024,0.215,0.078,0.08,0.151,0.299,0.329,0.32,121,0.024084530000000003,0.18,0.32,0.47,NA,NA,NA,NA
Austria,2024,0.839,0.762,0.577,0.726,0.928,0.806,0.67,25,0.01922923,0.51,0.59,0.72,NA,NA,NA,NA
Bahrain,2024,0.124,0.052,0.04,0.113,0.221,0.09,0.53,53,0.06443612,0.51,0.32,0.9,NA,NA,NA,NA
Barbados,2024,0.786,0.67,0.342,0.664,0.874,0.845,0.68,23,0.03118658,NA,0.72,NA,2016,63.396,60.559,61.974
Belgium,2024,0.886,0.805,0.629,0.818,0.966,0.931,0.69,22,0.01658329,0.67,0.72,0.55,NA,NA,NA,NA
Bosnia and Herzegovina,2024,0.508,0.342,0.302,0.357,0.524,0.682,0.33,114,0.02043418,0.35,0.32,0.2,2023,16.294,24.581,19.666
Bulgaria,2024,0.646,0.508,0.455,0.427,0.714,0.782,0.43,76,0.019246179999999998,0.35,0.32,0.39,NA,NA,NA,NA
Comoros,2024,0.282,0.107,0.2,0.226,0.126,0.725,0.21,158,0.08206746000000001,NA,0.46,NA,2021,86.662,91.603,88.809
Croatia,2024,0.723,0.619,0.488,0.572,0.909,0.738,0.47,63,0.01874004,0.51,0.46,0.31,NA,NA,NA,NA
Cuba,2024,0.178,0.055,0.065,0.23,0.294,0.868,0.41,82,0.030884079999999998,0.51,0.32,NA,NA,NA,NA,NA
Cyprus,2024,0.774,0.651,0.492,0.685,0.912,0.87,0.56,46,0.02480894,0.67,0.59,0.59,NA,NA,NA,NA
Czechia,2024,0.87,0.817,0.579,0.786,0.948,0.854,0.56,46,0.0139215,0.35,0.59,0.55,NA,NA,NA,NA
Denmark,2024,0.916,0.883,0.702,0.878,0.959,0.97,0.9,1,0.01982749,0.83,0.85,0.95,NA,NA,NA,NA
Equatorial Guinea,2024,0.178,0.049,0.047,0.111,0.084,0.196,0.13,173,0.025358719999999998,0.18,0.19,NA,NA,NA,NA,NA
Estonia,2024,0.895,0.85,0.63,0.808,0.962,0.886,0.76,13,0.01087449,0.67,0.72,0.79,NA,NA,NA,NA
Fiji,2024,0.516,0.414,0.271,0.386,0.542,0.72,0.55,50,0.020310039999999998,NA,0.59,NA,2016,44.735,41.461,43.642
Finland,2024,0.847,0.802,0.597,0.736,0.959,0.917,0.88,2,0.01829536,0.83,0.85,0.92,NA,NA,NA,NA
Greece,2024,0.75,0.576,0.516,0.649,0.946,0.925,0.49,59,0.0194294,0.35,0.59,0.46,NA,NA,NA,NA
Guyana,2024,0.491,0.315,0.291,0.359,0.424,0.749,0.39,92,0.01584077,NA,0.32,NA,2019,56.418,43.449,51.168
Hong Kong,2024,0.169,0.133,0.055,0.221,0.301,0.594,0.74,17,0.02616151,0.83,0.59,NA,NA,NA,NA,NA
Iceland,2024,0.844,0.759,0.604,0.76,0.92,0.912,0.77,10,0.02603046,0.67,0.72,0.81,NA,NA,NA,NA
Israel,2024,0.715,0.617,0.469,0.581,0.879,0.781,0.64,30,0.029043760000000002,0.67,0.59,0.85,NA,NA,NA,NA
Kuwait,2024,0.292,0.266,0.084,0.233,0.657,0.332,0.46,65,0.01648804,0.51,0.32,0.54,NA,NA,NA,NA
Lithuania,2024,0.799,0.734,0.578,0.698,0.893,0.933,0.63,32,0.016578390000000002,0.51,0.59,NA,NA,NA,NA,NA
Luxembourg,2024,0.867,0.783,0.561,0.804,0.943,0.91,0.81,5,0.02000107,0.83,0.72,0.92,NA,NA,NA,NA
North Macedonia,2024,0.563,0.374,0.364,0.369,0.669,0.518,0.4,88,0.02734376,0.35,0.46,0.34,2024,13.299,8.112,11.089
Malaysia,2024,0.517,0.362,0.315,0.388,0.592,0.636,0.5,57,0.01096785,0.51,0.59,0.5,NA,NA,NA,NA
Malta,2024,0.785,0.637,0.542,0.69,0.902,0.885,0.46,65,0.0343152,0.35,0.46,0.39,NA,NA,NA,NA
Mauritius,2024,0.492,0.368,0.316,0.376,0.611,0.524,0.51,56,0.0252956,0.67,0.59,0.55,2019,55.991,49.491,53.489
Montenegro,2024,0.615,0.478,0.392,0.481,0.612,0.758,0.46,65,0.03033371,NA,0.46,NA,NA,NA,NA,NA
New Zealand,2024,0.863,0.809,0.614,0.74,0.955,0.793,0.83,4,0.01768734,0.83,0.85,0.72,NA,NA,NA,NA
Norway,2024,0.884,0.839,0.636,0.835,0.964,0.968,0.81,5,0.01651022,0.83,0.85,0.67,NA,NA,NA,NA
